SVM,PAC,NB,QDA,RF
0.9511041009463722,0.9369085173501577,0.9305993690851735,0.8343848580441641,0.9258675078864353
0.9479495268138801,0.943217665615142,0.9479495268138801,0.861198738170347,0.9053627760252366
0.9305993690851735,0.9337539432176656,0.9258675078864353,0.8422712933753943,0.9022082018927445
0.9495268138801262,0.9369085173501577,0.9321766561514195,0.8454258675078864,0.9242902208201893
0.9416403785488959,0.9463722397476341,0.9369085173501577,0.8375394321766562,0.917981072555205
0.9289099526066351,0.9320695102685624,0.9304897314375987,0.8578199052132701,0.9225908372827805
0.9541864139020537,0.9510268562401264,0.9289099526066351,0.8483412322274881,0.9241706161137441
0.9541864139020537,0.9462875197472354,0.9399684044233807,0.8641390205371248,0.9162717219589257
0.9478672985781991,0.9383886255924171,0.933649289099526,0.8609794628751974,0.9146919431279621
0.9352290679304898,0.9289099526066351,0.9241706161137441,0.8436018957345972,0.909952606635071
